shipment_id,product_id,supplier_id,route_id,shipment_date,expected_delivery_date,actual_delivery_date,shipment_status,transit_hours,quantity,unit_cost,recorded_temperature,required_temp_min,required_temp_max,deviation_c,temperature_excursion_flag,excursion_severity,excursion_duration_hours,delay_flag,delay_duration_hours,spoilage_risk_score,spoilage_risk_category,estimated_spoilage_qty,estimated_financial_loss
SHP00011,P005,S005,R010,2024-11-05,2024-11-08 16:05:23,2024-11-08 20:10:48,Delivered,83.8,250.0,13.38,14.5,0,4,10.5,1,Severe,0.0,1.0,4.090277777777778,3,High Risk,87,1164.06
SHP00012,P014,S005,R002,2024-01-02,2024-01-02 21:48:03,2024-01-04 04:21:36,Delivered,23.8,400.0,16.04,13.9,13,15,0.0,0,,11.9,1.0,30.559166666666663,4,High Risk,140,2245.6
SHP00013,P005,S009,R002,2024-07-08,2024-07-08 21:52:41,2024-07-09 04:18:00,Delivered,28.3,50.0,13.38,3.6,0,4,0.0,0,,9.4,1.0,6.421944444444445,3,High Risk,17,227.46
SHP00014,P004,S006,R025,2024-10-13,2024-10-18 12:17:43,2024-10-21 20:44:24,Delivered,193.4,150.0,11.42,5.7,2,6,0.0,0,,64.5,1.0,80.44472222222223,5,Critical Risk,112,1279.04
SHP00015,P001,S003,R024,2024-06-19,2024-06-23 14:25:34,2024-06-25 23:45:00,Delivered,152.5,100.0,16.53,5.0,2,4,1.0,1,Mild,0.0,1.0,57.32388888888889,4,High Risk,35,578.55
SHP00016,P008,S004,R027,2024-08-23,2024-08-23 11:57:29,2024-08-23 18:33:36,Delivered,11.6,400.0,19.33,2.6,0,4,0.0,0,,4.6,1.0,6.601944444444444,3,High Risk,140,2706.2
SHP00017,P009,S006,R021,2024-09-17,2024-09-20 16:40:47,2024-09-20 14:36:00,Delivered,86.6,250.0,8.03,9.0,-1,2,7.0,1,Severe,0.0,0.0,0.0,4,High Risk,87,698.61
SHP00018,P020,S007,R012,2024-06-09,2024-06-11 08:18:36,2024-06-11 08:24:00,Delivered,56.4,50.0,23.51,11.7,0,4,7.699999999999999,1,Severe,18.8,1.0,0.09,5,Critical Risk,37,869.87
SHP00019,P018,S004,R012,2024-08-08,2024-08-10 05:10:04,2024-08-09 18:00:00,Delivered,42.0,250.0,16.44,3.4,0,4,0.0,0,,0.0,0.0,0.0,0,Low Risk,0,0.0
SHP00020,P013,S005,R018,2024-03-06,2024-03-07 06:44:19,2024-03-07 03:06:00,Delivered,27.1,400.0,3.35,7.4,0,4,3.4000000000000004,1,Mild,5.4,0.0,0.0,1,Medium Risk,40,134.0
SHP00021,P007,S007,R026,2024-10-23,2024-10-25 19:18:31,2024-10-26 13:18:00,Delivered,85.3,150.0,12.06,-1.2,0,4,1.2,1,Mild,0.0,1.0,17.99138888888889,2,Medium Risk,15,180.9
SHP00022,P020,S006,R003,2024-04-30,2024-05-05 12:07:35,2024-05-07 09:42:00,Delivered,177.7,500.0,23.51,1.0,0,4,0.0,0,,0.0,1.0,45.57361111111111,2,Medium Risk,50,1175.5
SHP00023,P019,S004,R023,2024-12-22,2024-12-24 13:42:36,2024-12-24 18:18:00,Delivered,66.3,100.0,9.85,7.2,8,12,0.7999999999999998,1,Mild,16.6,1.0,4.59,3,High Risk,35,344.75
SHP00024,P017,S008,R002,2024-10-12,2024-10-13 01:00:21,2024-10-12 22:18:00,In Transit,22.3,300.0,21.86,-0.1,0,4,0.1,1,Mild,14.9,0.0,0.0,3,High Risk,105,2295.3
SHP00025,P017,S007,R027,2024-10-07,2024-10-07 10:32:17,,Cancelled,12.4,250.0,21.86,3.0,0,4,0.0,0,,4.1,,,2,Medium Risk,25,546.5
SHP00026,P008,S005,R015,2024-02-09,2024-02-10 11:25:23,2024-02-11 00:42:00,Delivered,48.7,150.0,19.33,10.7,0,4,6.699999999999999,1,Severe,0.0,1.0,13.276944444444444,4,High Risk,52,1005.16
SHP00027,P007,S002,R014,2024-07-27,2024-07-31 01:32:16,,Cancelled,99.5,50.0,12.06,8.6,0,4,4.6,1,Mild,0.0,,,1,Medium Risk,5,60.3
SHP00028,P001,S006,R010,2024-07-18,2024-07-22 02:39:01,2024-07-23 08:12:00,Delivered,128.2,200.0,16.53,-0.4,2,4,2.4,1,Mild,21.4,1.0,29.549722222222226,4,High Risk,70,1157.1
SHP00029,P001,S007,R011,2024-12-08,2024-12-10 13:07:48,,Cancelled,79.7,50.0,16.53,2.3,2,4,0.0,0,,0.0,,,1,Medium Risk,5,82.65
SHP00030,P001,S002,R021,2024-08-07,2024-08-10 08:38:32,2024-08-09 22:18:00,In Transit,70.3,300.0,16.53,2.4,2,4,0.0,0,,23.4,0.0,0.0,3,High Risk,105,1735.65
SHP00031,P014,S005,R027,2024-02-11,2024-02-11 11:48:16,2024-02-11 12:36:00,Delivered,12.6,100.0,16.04,23.0,13,15,8.0,1,Severe,5.0,1.0,0.7955555555555556,5,Critical Risk,75,1203.0
SHP00032,P001,S004,R007,2024-01-11,2024-01-16 08:35:17,2024-01-17 23:12:00,Delivered,167.2,500.0,16.53,3.9,2,4,0.0,0,,0.0,1.0,38.61194444444445,3,High Risk,175,2892.75
SHP00033,P020,S002,R025,2024-03-24,2024-03-29 04:38:33,2024-04-01 09:36:00,Delivered,201.6,400.0,23.51,2.7,0,4,0.0,0,,80.6,1.0,76.9575,4,High Risk,140,3291.4
SHP00034,P019,S004,R004,2024-12-22,2024-12-22 09:06:35,2024-12-22 12:39:00,In Transit,11.5,50.0,9.85,11.9,8,12,0.0,0,,0.0,1.0,3.540277777777778,0,Low Risk,0,0.0
SHP00035,P003,S009,R021,2024-06-23,2024-06-26 07:59:52,2024-06-25 14:42:00,In Transit,62.7,500.0,18.91,3.4,2,6,0.0,0,,0.0,0.0,0.0,1,Medium Risk,50,945.5
SHP00036,P017,S005,R020,2024-10-02,2024-10-07 20:34:32,2024-10-12 08:49:12,Delivered,191.4,200.0,21.86,1.3,0,4,0.0,0,,191.4,1.0,108.24444444444444,4,High Risk,70,1530.2
SHP00037,P015,S004,R025,2024-08-25,2024-08-30 19:00:45,2024-08-31 17:06:00,Delivered,161.1,500.0,6.02,1.3,0,4,0.0,0,,80.6,1.0,22.0875,3,High Risk,175,1053.5
SHP00038,P020,S005,R018,2024-01-06,2024-01-07 04:02:55,2024-01-07 10:24:00,Delivered,34.4,200.0,23.51,2.2,0,4,0.0,0,,34.4,1.0,6.351388888888889,3,High Risk,70,1645.7
SHP00039,P015,S001,R003,2024-05-30,2024-06-05 00:32:01,2024-06-04 09:48:00,Delivered,129.8,300.0,6.02,1.9,0,4,0.0,0,,64.9,0.0,0.0,2,Medium Risk,30,180.6
SHP00040,P012,S008,R009,2024-06-05,2024-06-07 04:23:31,2024-06-07 05:48:00,Delivered,53.8,150.0,18.65,2.1,0,4,0.0,0,,17.9,1.0,1.4080555555555556,2,Medium Risk,15,279.75
SHP00041,P019,S009,R020,2024-05-24,2024-05-30 06:29:20,2024-06-01 21:36:00,Delivered,213.6,150.0,9.85,9.2,8,12,0.0,0,,0.0,1.0,63.11111111111112,2,Medium Risk,15,147.75
SHP00042,P005,S008,R004,2024-01-07,2024-01-07 08:29:24,2024-01-07 10:12:00,Delivered,10.2,500.0,13.38,0.2,0,4,0.0,0,,0.0,1.0,1.71,0,Low Risk,0,0.0
SHP00043,P003,S010,R021,2024-12-17,2024-12-20 03:48:24,2024-12-19 23:43:12,In Transit,65.2,100.0,18.91,6.0,2,6,0.0,0,,0.0,0.0,0.0,1,Medium Risk,10,189.1
SHP00044,P020,S004,R025,2024-09-24,2024-09-30 01:10:42,2024-09-29 21:42:00,Delivered,141.7,50.0,23.51,1.7,0,4,0.0,0,,0.0,0.0,0.0,0,Low Risk,0,0.0
SHP00045,P007,S004,R009,2024-12-04,2024-12-06 05:40:27,2024-12-06 03:09:00,Delivered,46.5,500.0,12.06,1.6,0,4,0.0,0,,0.0,0.0,0.0,0,Low Risk,0,0.0
SHP00046,P010,S008,R003,2024-12-17,2024-12-22 13:11:11,,Cancelled,131.0,200.0,3.9,-15.6,-18,-15,0.0,0,,131.0,,,3,High Risk,70,273.0
SHP00047,P005,S005,R027,2024-03-13,2024-03-13 10:33:10,2024-03-13 09:12:00,Delivered,9.2,100.0,13.38,-4.3,0,4,4.3,1,Mild,0.0,0.0,0.0,1,Medium Risk,10,133.8
SHP00048,P009,S009,R018,2024-09-09,2024-09-10 06:21:32,,Cancelled,32.6,200.0,8.03,-6.8,-1,2,5.8,1,Severe,32.6,,,6,Critical Risk,150,1204.5
SHP00049,P001,S005,R019,2024-01-21,2024-01-22 14:44:41,2024-01-23 07:30:00,In Transit,55.5,400.0,16.53,2.6,2,4,0.0,0,,0.0,1.0,16.755277777777778,2,Medium Risk,40,661.2
SHP00050,P016,S006,R014,2024-06-19,2024-06-22 18:46:51,,Cancelled,98.8,400.0,19.67,2.0,0,4,0.0,0,,0.0,,,0,Low Risk,0,0.0
SHP00051,P003,S006,R009,2024-06-14,2024-06-16 11:24:15,2024-06-16 14:24:00,Delivered,48.0,500.0,18.91,11.2,2,6,5.199999999999999,1,Severe,24.0,1.0,2.995833333333333,6,Critical Risk,375,7091.25
SHP00052,P020,S008,R021,2024-08-14,2024-08-17 04:38:53,2024-08-18 12:54:00,Delivered,108.9,500.0,23.51,13.9,0,4,9.9,1,Severe,18.2,1.0,32.25194444444445,5,Critical Risk,375,8816.25
SHP00053,P008,S003,R010,2024-10-09,2024-10-12 17:12:57,2024-10-11 22:06:00,Delivered,70.1,150.0,19.33,9.7,0,4,5.699999999999999,1,Severe,0.0,0.0,0.0,3,High Risk,52,1005.16
SHP00054,P009,S007,R027,2024-09-04,2024-09-04 10:43:11,2024-09-04 18:42:00,Delivered,17.0,150.0,8.03,1.8,-1,2,0.0,0,,4.2,1.0,7.980277777777777,2,Medium Risk,15,120.45
SHP00055,P014,S006,R026,2024-09-16,2024-09-18 15:03:59,2024-09-19 02:01:48,In Transit,67.3,150.0,16.04,11.0,13,15,2.0,1,Mild,0.0,1.0,10.963611111111112,2,Medium Risk,15,240.6
SHP00056,P018,S009,R013,2024-08-21,2024-08-28 00:22:55,2024-09-11 05:44:24,Delivered,231.7,400.0,16.44,1.5,0,4,0.0,0,,0.0,1.0,341.35805555555555,2,Medium Risk,40,657.6
SHP00057,P013,S007,R022,2024-11-29,2024-12-04 06:26:50,2024-12-06 23:00:00,In Transit,191.0,100.0,3.35,2.4,0,4,0.0,0,,0.0,1.0,64.55277777777778,2,Medium Risk,10,33.5
SHP00058,P015,S001,R024,2024-03-14,2024-03-18 19:37:34,2024-03-19 00:42:00,In Transit,120.7,300.0,6.02,3.9,0,4,0.0,0,,0.0,1.0,5.073888888888889,0,Low Risk,0,0.0
SHP00059,P011,S009,R013,2024-06-11,2024-06-18 00:54:59,2024-06-19 03:00:00,Delivered,195.0,200.0,21.42,0.9,-1,2,0.0,0,,0.0,1.0,26.08361111111111,3,High Risk,70,1499.4
SHP00060,P003,S007,R004,2024-11-20,2024-11-20 07:53:24,2024-11-20 11:06:00,Delivered,11.1,300.0,18.91,2.1,2,6,0.0,0,,0.0,1.0,3.21,1,Medium Risk,30,567.3
SHP00061,P014,S003,R008,2024-09-28,2024-10-01 11:33:33,2024-10-01 14:54:00,Delivered,86.9,400.0,16.04,14.2,13,15,0.0,0,,0.0,1.0,3.3408333333333333,0,Low Risk,0,0.0
SHP00062,P019,S003,R008,2024-08-24,2024-08-27 08:08:26,2024-08-28 14:52:48,Delivered,100.8,250.0,9.85,22.2,8,12,10.2,1,Severe,20.2,1.0,30.739444444444445,5,Critical Risk,187,1841.95
SHP00063,P012,S010,R010,2024-11-23,2024-11-26 22:05:57,2024-11-28 15:42:00,In Transit,135.7,500.0,18.65,4.0,0,4,0.0,0,,22.6,1.0,41.60083333333333,2,Medium Risk,50,932.5
SHP00064,P019,S005,R023,2024-05-31,2024-06-02 18:52:02,2024-06-02 01:00:00,Delivered,49.0,50.0,9.85,11.5,8,12,0.0,0,,0.0,0.0,0.0,0,Low Risk,0,0.0
SHP00065,P010,S004,R020,2024-06-29,2024-07-04 13:10:10,2024-07-04 11:24:00,Delivered,131.4,150.0,3.9,-19.9,-18,-15,1.8999999999999984,1,Mild,0.0,0.0,0.0,2,Medium Risk,15,58.5
SHP00066,P010,S008,R002,2024-10-23,2024-10-23 21:48:13,,Cancelled,24.4,200.0,3.9,-16.8,-18,-15,0.0,0,,0.0,,,1,Medium Risk,20,78.0
SHP00067,P012,S009,R017,2024-05-19,2024-05-21 22:51:55,2024-05-24 14:40:48,In Transit,103.6,300.0,18.65,3.2,0,4,0.0,0,,0.0,1.0,63.81472222222222,2,Medium Risk,30,559.5
SHP00068,P005,S004,R028,2024-12-12,2024-12-15 05:44:10,2024-12-20 13:55:12,Delivered,93.6,50.0,13.38,8.7,0,4,4.699999999999999,1,Mild,18.7,1.0,128.1838888888889,3,High Risk,17,227.46
SHP00069,P009,S010,R013,2024-11-22,2024-11-28 01:34:20,2024-12-01 16:36:00,Delivered,232.6,300.0,8.03,1.7,-1,2,0.0,0,,58.2,1.0,87.02777777777777,5,Critical Risk,225,1806.75
SHP00070,P015,S005,R021,2024-07-28,2024-07-31 02:11:59,,Cancelled,69.1,100.0,6.02,3.1,0,4,0.0,0,,0.0,,,0,Low Risk,0,0.0
SHP00071,P015,S006,R022,2024-12-22,2024-12-27 04:36:37,,Cancelled,187.6,100.0,6.02,1.7,0,4,0.0,0,,0.0,,,0,Low Risk,0,0.0
SHP00072,P009,S001,R023,2024-07-08,2024-07-10 14:14:59,2024-07-10 10:18:00,Delivered,58.3,300.0,8.03,1.9,-1,2,0.0,0,,11.7,0.0,0.0,1,Medium Risk,30,240.9
SHP00073,P013,S005,R007,2024-03-03,2024-03-08 23:41:02,2024-03-11 09:00:00,Delivered,201.0,50.0,3.35,2.6,0,4,0.0,0,,40.2,1.0,57.31611111111111,2,Medium Risk,5,16.75
SHP00074,P005,S010,R007,2024-02-05,2024-02-10 16:43:29,2024-02-13 15:34:12,Delivered,188.7,50.0,13.38,8.6,0,4,4.6,1,Mild,75.5,1.0,70.84527777777778,5,Critical Risk,37,495.06
SHP00075,P018,S005,R026,2024-03-30,2024-04-02 02:31:48,2024-04-01 10:54:00,Delivered,58.9,200.0,16.44,3.2,0,4,0.0,0,,19.6,0.0,0.0,2,Medium Risk,20,328.8
SHP00076,P014,S009,R004,2024-02-02,2024-02-02 08:59:32,2024-02-02 09:36:00,Delivered,87.2,200.0,16.04,14.0,13,15,0.0,0,,17.4,1.0,0.6077777777777778,0,Low Risk,0,0.0
SHP00077,P015,S001,R002,2024-09-02,2024-09-02 23:07:14,2024-09-03 09:00:00,Delivered,33.0,300.0,6.02,9.4,0,4,5.4,1,Severe,0.0,1.0,9.879444444444443,4,High Risk,105,632.1
SHP00078,P020,S010,R018,2024-12-30,2024-12-31 08:36:37,2024-12-31 06:06:00,Delivered,30.1,100.0,23.51,2.4,0,4,0.0,0,,0.0,0.0,0.0,0,Low Risk,0,0.0
SHP00079,P018,S004,R014,2024-08-19,2024-08-23 00:33:47,2024-08-26 15:33:36,Delivered,141.2,300.0,16.44,2.9,0,4,0.0,0,,28.2,1.0,86.99694444444444,2,Medium Risk,30,493.2
SHP00080,P005,S008,R003,2024-02-16,2024-02-21 08:38:10,2024-02-24 02:36:00,In Transit,194.6,300.0,13.38,-2.7,0,4,2.7,1,Mild,38.9,1.0,65.96388888888889,3,High Risk,105,1404.9
SHP00081,P014,S001,R010,2024-11-03,2024-11-06 11:57:04,,Cancelled,90.8,100.0,16.04,14.0,13,15,0.0,0,,0.0,,,0,Low Risk,0,0.0
SHP00082,P009,S010,R008,2024-08-07,2024-08-10 16:03:45,2024-08-13 03:33:00,Delivered,113.5,50.0,8.03,0.9,-1,2,0.0,0,,0.0,1.0,59.4875,3,High Risk,17,136.51
SHP00083,P009,S001,R006,2024-05-19,2024-05-22 14:08:15,2024-05-23 20:00:00,Delivered,116.0,400.0,8.03,1.6,-1,2,0.0,0,,0.0,1.0,29.8625,3,High Risk,140,1124.2
SHP00084,P001,S002,R024,2024-09-28,2024-10-02 14:35:59,2024-10-02 08:00:00,Delivered,104.0,100.0,16.53,3.4,2,4,0.0,0,,52.0,0.0,0.0,3,High Risk,35,578.55
SHP00085,P020,S001,R022,2024-02-11,2024-02-16 10:27:49,2024-02-16 02:42:00,Delivered,122.7,100.0,23.51,1.1,0,4,0.0,0,,0.0,0.0,0.0,0,Low Risk,0,0.0
SHP00086,P019,S008,R017,2024-12-07,2024-12-09 22:20:57,2024-12-13 19:01:12,Delivered,74.1,200.0,9.85,8.8,8,12,0.0,0,,0.0,1.0,92.67083333333332,2,Medium Risk,20,197.0
SHP00087,P004,S001,R016,2024-08-08,2024-08-11 19:17:00,2024-08-11 20:04:12,Delivered,83.7,300.0,11.42,5.3,2,6,0.0,0,,16.7,1.0,0.7866666666666666,1,Medium Risk,30,342.6
SHP00088,P001,S008,R003,2024-06-09,2024-06-14 21:23:22,2024-06-16 16:08:24,Delivered,167.4,50.0,16.53,2.2,2,4,0.0,0,,27.9,1.0,42.75055555555556,3,High Risk,17,281.01
SHP00089,P020,S008,R027,2024-12-19,2024-12-19 10:23:09,2024-12-19 21:27:00,Delivered,16.5,100.0,23.51,2.4,0,4,0.0,0,,0.0,1.0,11.064166666666669,1,Medium Risk,10,235.1
SHP00090,P008,S006,R025,2024-03-27,2024-04-01 18:06:56,2024-03-31 14:30:00,Delivered,110.5,300.0,19.33,3.1,0,4,0.0,0,,55.2,0.0,0.0,2,Medium Risk,30,579.9
SHP00091,P008,S002,R005,2024-05-11,2024-05-14 11:20:12,,Cancelled,74.6,500.0,19.33,8.6,0,4,4.6,1,Mild,14.9,,,1,Medium Risk,50,966.5
SHP00092,P015,S010,R021,2024-11-21,2024-11-24 06:29:57,2024-12-02 06:36:00,Delivered,87.2,200.0,6.02,1.8,0,4,0.0,0,,43.6,1.0,192.10083333333333,4,High Risk,70,421.4
SHP00093,P019,S001,R012,2024-09-16,2024-09-18 03:10:45,,Cancelled,42.2,100.0,9.85,9.1,8,12,0.0,0,,14.1,,,2,Medium Risk,10,98.5
SHP00094,P019,S009,R026,2024-01-22,2024-01-25 01:46:43,2024-01-25 12:42:00,In Transit,77.0,150.0,9.85,9.9,8,12,0.0,0,,0.0,1.0,10.921388888888888,1,Medium Risk,15,147.75
SHP00095,P011,S002,R017,2024-11-26,2024-11-28 22:44:05,2024-11-28 18:24:00,Delivered,66.4,150.0,21.42,0.6,-1,2,0.0,0,,33.2,0.0,0.0,3,High Risk,52,1113.84
SHP00096,P011,S010,R002,2024-11-19,2024-11-19 21:30:39,,Cancelled,29.4,150.0,21.42,6.3,-1,2,4.3,1,Mild,0.0,,,2,Medium Risk,15,321.3
SHP00097,P012,S005,R021,2024-12-23,2024-12-26 03:29:37,2024-12-27 17:11:24,Delivered,102.9,300.0,18.65,2.2,0,4,0.0,0,,0.0,1.0,37.69638888888889,2,Medium Risk,30,559.5
SHP00098,P017,S002,R021,2024-12-09,2024-12-12 07:05:49,2024-12-12 16:06:00,Delivered,88.1,500.0,21.86,0.9,0,4,0.0,0,,0.0,1.0,9.003055555555555,1,Medium Risk,50,1093.0
SHP00099,P010,S002,R017,2024-10-03,2024-10-06 07:44:07,2024-10-07 07:54:00,Delivered,103.9,150.0,3.9,-15.7,-18,-15,0.0,0,,0.0,1.0,24.164722222222224,3,High Risk,52,202.8
SHP00100,P020,S003,R024,2024-08-12,2024-08-16 13:24:42,2024-08-16 02:13:48,Delivered,89.3,500.0,23.51,15.5,0,4,11.5,1,Severe,35.7,0.0,0.0,5,Critical Risk,375,8816.25
SHP00101,P016,S004,R012,2024-12-13,2024-12-15 08:18:43,2024-12-16 04:30:00,Delivered,76.5,400.0,19.67,1.5,0,4,0.0,0,,0.0,1.0,20.188055555555557,1,Medium Risk,40,786.8
SHP00102,P005,S005,R002,2024-11-24,2024-11-24 22:52:29,2024-11-25 18:24:00,Delivered,87.2,100.0,13.38,-5.3,0,4,5.3,1,Severe,17.4,1.0,19.525277777777777,4,High Risk,35,468.3
SHP00103,P017,S003,R027,2024-08-11,2024-08-11 12:09:04,,Cancelled,9.4,400.0,21.86,18.4,0,4,14.4,1,Severe,0.0,,,3,High Risk,140,3060.4
SHP00104,P013,S002,R012,2024-04-24,2024-04-26 07:47:08,2024-04-26 04:31:12,In Transit,40.4,150.0,3.35,3.2,0,4,0.0,0,,6.7,0.0,0.0,0,Low Risk,0,0.0
SHP00105,P005,S008,R015,2024-11-11,2024-11-12 10:19:10,2024-11-12 04:36:00,Delivered,28.6,400.0,13.38,-1.6,0,4,1.6,1,Mild,0.0,0.0,0.0,1,Medium Risk,40,535.2
SHP00106,P004,S001,R008,2024-08-02,2024-08-05 10:39:06,2024-08-06 04:54:00,Delivered,100.9,200.0,11.42,9.2,2,6,3.1999999999999997,1,Mild,0.0,1.0,18.24833333333333,3,High Risk,70,799.4
SHP00107,P020,S006,R008,2024-10-19,2024-10-22 11:17:27,2024-10-22 15:12:00,In Transit,87.2,50.0,23.51,0.875,0,4,0.0,0,,0.0,1.0,3.9091666666666662,0,Low Risk,0,0.0
SHP00108,P013,S006,R009,2024-01-09,2024-01-11 03:49:15,2024-01-11 10:24:00,Delivered,58.4,300.0,3.35,7.5,0,4,3.5,1,Mild,0.0,1.0,6.579166666666667,2,Medium Risk,30,100.5
SHP00109,P006,S008,R023,2024-09-02,2024-09-04 18:38:43,2024-09-05 06:12:00,Delivered,78.2,50.0,16.77,5.8,0,4,1.7999999999999998,1,Mild,19.6,1.0,11.554722222222225,4,High Risk,17,285.09
SHP00110,P010,S009,R013,2024-10-05,2024-10-10 23:25:23,2024-10-13 02:15:36,Delivered,176.6,50.0,3.9,-15.4,-18,-15,0.0,0,,117.7,1.0,50.83694444444444,5,Critical Risk,37,144.3
SHP00111,P012,S007,R013,2024-08-13,2024-08-19 09:54:39,2024-09-02 19:37:12,Delivered,227.1,250.0,18.65,2.0,0,4,0.0,0,,0.0,1.0,345.70916666666665,2,Medium Risk,25,466.25
SHP00112,P014,S010,R027,2024-04-02,2024-04-02 10:53:10,2024-04-02 13:18:00,In Transit,13.3,400.0,16.04,18.6,13,15,3.6000000000000014,1,Mild,6.6,1.0,2.4138888888888888,3,High Risk,140,2245.6
SHP00113,P002,S006,R020,2024-08-10,2024-08-16 10:27:44,2024-08-19 03:50:24,Delivered,137.4,300.0,6.75,3.3,2,4,0.0,0,,0.0,1.0,65.37777777777778,3,High Risk,105,708.75
SHP00114,P001,S003,R028,2024-11-07,2024-11-09 22:23:10,,Cancelled,91.1,300.0,16.53,3.3,2,4,0.0,0,,36.4,,,3,High Risk,105,1735.65
SHP00115,P005,S008,R012,2024-07-09,2024-07-10 23:24:00,2024-07-11 08:42:00,Delivered,56.7,250.0,13.38,1.3,0,4,0.0,0,,0.0,1.0,9.3,1,Medium Risk,25,334.5
SHP00116,P006,S008,R017,2024-07-17,2024-07-19 20:53:42,2024-07-22 20:47:24,Delivered,108.3,500.0,16.77,7.7,0,4,3.7,1,Mild,0.0,1.0,71.895,3,High Risk,175,2934.75
SHP00117,P015,S003,R023,2024-08-15,2024-08-17 18:38:00,,Cancelled,95.7,300.0,6.02,1.4,0,4,0.0,0,,0.0,,,0,Low Risk,0,0.0
SHP00118,P010,S003,R023,2024-12-29,2024-12-31 16:33:45,2025-01-03 00:07:12,Delivered,92.4,200.0,3.9,-17.6,-18,-15,0.0,0,,0.0,1.0,55.5575,3,High Risk,70,273.0
SHP00119,P001,S006,R018,2024-10-20,2024-10-21 07:31:34,2024-10-21 10:12:36,Delivered,31.1,250.0,16.53,2.2,2,4,0.0,0,,5.2,1.0,2.6838888888888888,1,Medium Risk,25,413.25
SHP00120,P017,S007,R025,2024-07-28,2024-08-02 03:45:40,,Cancelled,187.1,300.0,21.86,1.8,0,4,0.0,0,,112.3,,,2,Medium Risk,30,655.8
SHP00121,P006,S003,R014,2024-09-14,2024-09-17 17:51:40,2024-09-19 22:54:00,Delivered,142.9,300.0,16.77,0.7,0,4,0.0,0,,0.0,1.0,53.03888888888889,2,Medium Risk,30,503.1
SHP00122,P017,S005,R028,2024-02-10,2024-02-13 01:03:26,2024-02-13 02:41:24,Delivered,67.9,100.0,21.86,1.2,0,4,0.0,0,,0.0,1.0,1.632777777777778,0,Low Risk,0,0.0
SHP00123,P019,S003,R006,2024-12-03,2024-12-07 00:14:05,2024-12-07 14:36:00,Delivered,110.6,50.0,9.85,18.4,8,12,6.399999999999999,1,Severe,0.0,1.0,14.365277777777775,4,High Risk,17,167.45
SHP00124,P009,S004,R025,2024-10-19,2024-10-24 18:15:48,2024-10-25 01:24:00,Delivered,145.4,250.0,8.03,-0.1,-1,2,0.0,0,,58.2,1.0,7.136666666666667,4,High Risk,87,698.61
SHP00125,P015,S002,R023,2024-01-31,2024-02-02 13:54:04,2024-02-02 07:30:00,Delivered,55.5,300.0,6.02,0.6,0,4,0.0,0,,11.1,0.0,0.0,0,Low Risk,0,0.0
SHP00126,P005,S006,R017,2024-10-14,2024-10-16 22:38:59,2024-10-16 14:36:00,In Transit,62.6,50.0,13.38,0.6,0,4,0.0,0,,20.9,0.0,0.0,2,Medium Risk,5,66.9
